CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
title;HammerFont - Bitmap Font Packing Tool;HammerFont - Outil de création de polices bitmap;HammerFont - Bitmap-Schriftart-Packing-Tool;HammerFont - Narzędzie do pakowania czcionek bitmapowych;HammerFont - Herramienta de empaquetado de fuentes de mapa de bits;HammerFont - Strumento di impacchettamento dei font bitmap;HammerFont - Bitmap Font Packing Tool;HammerFont - Nástroj pro balení bitmapových písem;HammerFont - Bitmap betűtípus-csomagoló eszköz;HammerFont - Bitmap Lettertype Pakketool;HammerFont - Ferramenta de empacotamento de fontes bitmap;HammerFont - Инструмент упаковки растровых шрифтов;HammerFont - Bitmap-fonttipakkaustyökalu;HammerFont - 位图字体打包工具
font_settings_title;Font Settings;Paramètres de police;Schrifteinstellungen;Ustawienia czcionki;Configuración de fuentes;Impostazioni carattere;Teckensnittsinställningar;Nastavení písma;Betűtípus beállítások;Lettertype-instellingen;Configurações de fonte;Настройки шрифта;Fonttiasetukset;字体设置
add_font_label;Add Font;Ajouter une police;Schrift hinzufügen;Dodaj czcionkę;Añadir fuente;Aggiungi carattere;Lägg till teckensnitt;Přidat písmo;Betűtípus hozzáadása;Lettertype toevoegen;Adicionar fonte;Добавить шрифт;Lisää fontti;添加字体
size_label;Size:;Taille :;Größe:;Rozmiar:;Tamaño:;Dimensione:;Storlek:;Velikost:;Méret:;Grootte:;Tamanho:;Размер:;Koko:;大小:
size_suffix;px;px;px;px;px;px;px;px;px;px;px;пикс.;px;像素
select_font_button;📂 Select TTF/OTF file;📂 Sélectionner un fichier TTF/OTF;📂 TTF/OTF-Datei auswählen;📂 Wybierz plik TTF/OTF;📂 Seleccionar archivo TTF/OTF;📂 Seleziona file TTF/OTF;📂 Välj TTF/OTF-fil;📂 Vybrat soubor TTF/OTF;📂 TTF/OTF fájl kiválasztása;📂 Selecteer TTF/OTF-bestand;📂 Selecionar arquivo TTF/OTF;📂 Выбрать файл TTF/OTF;📂 Valitse TTF/OTF-tiedosto;📂 选择TTF/OTF文件
configured_fonts_label;Configured fonts;Polices configurées;Konfigurierte Schriften;Skonfigurowane czcionki;Fuentes configuradas;Caratteri configurati;Konfigurerade teckensnitt;Nakonfigurovaná písma;Beállított betűtípusok;Geconfigureerde lettertypen;Fontes configuradas;Настроенные шрифты;Määritetyt fontit;已配置字体
no_fonts_label;No configured fonts;Aucune police configurée;Keine Schriften konfiguriert;Brak skonfigurowanych czcionek;No hay fuentes configuradas;Nessun carattere configurato;Inga konfigurerade teckensnitt;Žádná nakonfigurovaná písma;Nincsenek beállított betűtípusok;Geen geconfigureerde lettertypen;Nenhuma fonte configurada;Нет настроенных шрифтов;Ei määritettyjä fontteja;无已配置字体
generate_atlas_button;🔄 Generate atlas;🔄 Générer l'atlas;🔄 Atlas generieren;🔄 Generuj atlas;🔄 Generar atlas;🔄 Genera atlante;🔄 Generera atlas;🔄 Generovat atlas;🔄 Atlasz generálása;🔄 Genereer atlas;🔄 Gerar atlas;🔄 Создать атлас;🔄 Luo atlas;🔄 生成图集
delete_button;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑;🗑
